title,rating,category_name
Sapiens: A Brief History of Humankind,5,History
Rip it Up and Start Again,5,Music
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,Sequential Art
Set Me Free,5,Young Adult
Join,5,Science Fiction
Princess Between Worlds (Wide-Awake Princess #5),5,Fantasy
Sophie's World,5,Philosophy
Chase Me (Paris Nights #2),5,Romance
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,5,Nonfiction
Black Dust,5,Romance
The Elephant Tree,5,Thriller
The Four Agreements: A Practical Guide to Personal Freedom,5,Spirituality
"We Love You, Charlie Freeman",5,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,Default
Private Paris (Private #10),5,Fiction
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,Spirituality
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,Sequential Art
Thirst,5,Fiction
Sharp Objects,4,Mystery
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,Default
The Dirty Little Secrets of Getting Your Dream Job,4,Business
Shakespeare's Sonnets,4,Poetry
Wall and Piece,4,Art
Untitled Collection: Sabbath Poems 2014,4,Poetry
Behind Closed Doors,4,Thriller
This One Summer,4,Sequential Art
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,Nonfiction
The Death of Humanity: and the Case for Life,4,Philosophy
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4,Science
The Nameless City (The Nameless City #1),4,Sequential Art
The Past Never Ends,4,Mystery
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4,Nonfiction
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4,Sequential Art
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",4,Food and Drink
In the Country We Love: My Family Divided,4,Nonfiction
